Arabidopsis_thaliana;species_excluded	30	6750	22	22
Arabidopsis_thaliana;family_excluded	30	6750	7	6750
Arabidopsis_thaliana;order_excluded	30	6750	22	22
Caenorhabditis_elegans;species_excluded	30	480	900	480
Caenorhabditis_elegans;family_excluded	30	22	60	7
Caenorhabditis_elegans;order_excluded	30	22	60	22
Drosophila_melanogaster;species_excluded	30	6750	45	6750
Drosophila_melanogaster;family_excluded	30	480	6750	0
Drosophila_melanogaster;order_excluded	30	22	60	30
